Nome,Data Fab,Data Val,Quant,MDD
12032502-CAFE SOL 3C GRAN DECAF REF 24X50G,04-10-2023,03-10-2025,"3.648,00",1079
12032502-CAFE SOL 3C GRAN DECAF REF 24X50G,08-11-2023,07-11-2025,"1.541,00",1079
12032502-CAFE SOL 3C GRAN DECAF REF 24X50G,11-11-2023,10-11-2025,2400,1079
12032502-CAFE SOL 3C GRAN DECAF REF 24X50G,07-02-2024,06-02-2026,"3.648,00",1079
12032506-CAFE SOL 3C LIOF REF 24X50G,13-11-2023,12-11-2025,"4.368,00",1139
12032506-CAFE SOL 3C LIOF REF 24X50G,04-12-2023,03-12-2025,11200,1139
12032512-CAFE SOL LIO 3C PORT OB PENEI REF 24X50G,11-11-2023,10-11-2025,24000,000
12032521-CAFE SOL GRAN 3C TRAD REF 12X50G,30-12-2023,19-12-2025,51600,000
12032522-CAFE SOL 3C LIOF REF 12X50G,04-11-2023,24-10-2025,"1.452,00",000
12032523-CAFE SOL 3C GRAN DECAF REF 12X50G,15-09-2023,04-09-2025,61700,000
12034000-CAFE CAPP 3C BAUN SACHE 50X20G,10-01-2024,09-01-2025,"17.800,00",2467
12034000-CAFE CAPP 3C BAUN SACHE 50X20G,11-01-2024,10-01-2025,"14.100,00",2467
12034000-CAFE CAPP 3C BAUN SACHE 50X20G,06-02-2024,05-02-2025,"14.000,00",2467
12034001-CAFE CAPP 3C CANELA SACHE 50X20G,09-12-2023,08-12-2024,15000,2913
12034001-CAFE CAPP 3C CANELA SACHE 50X20G,12-12-2023,11-12-2024,"1.100,00",2913
12034001-CAFE CAPP 3C CANELA SACHE 50X20G,28-12-2023,27-12-2024,"14.050,00",2913
12034001-CAFE CAPP 3C CANELA SACHE 50X20G,09-01-2024,08-01-2025,"28.000,00",2913
12034003-CAFE CAPP 3C CHOC SACHE 50X20G,14-01-2024,13-01-2025,"36.350,00",3110
12034003-CAFE CAPP 3C CHOC SACHE 50X20G,15-01-2024,14-01-2025,"28.000,00",3110
12034003-CAFE CAPP 3C CHOC SACHE 50X20G,04-02-2024,03-02-2025,"28.000,00",3110
12034009-CAFE CAPP 3C CLAS SACHE 16X10X20G,15-03-2023,14-03-2024,1600,427
12034009-CAFE CAPP 3C CLAS SACHE 16X10X20G,26-01-2024,25-01-2025,"5.390,00",427
12034010-CAFE CAPP 3C CLAS SACHE 50X20G,11-01-2024,10-01-2025,15000,4040
12034010-CAFE CAPP 3C CLAS SACHE 50X20G,28-01-2024,27-01-2025,"4.050,00",4040
12034010-CAFE CAPP 3C CLAS SACHE 50X20G,29-01-2024,28-01-2025,"14.000,00",4040
12034019-CAFE CAPP 3C LIGHT SACHE 16X10X14G,05-10-2023,04-10-2024,"3.590,00",007
12034019-CAFE CAPP 3C LIGHT SACHE 16X10X14G,06-10-2023,05-10-2024,"8.000,00",007
12034077-CAFE CAPP 3C CLAS 5S 5X1KG,28-11-2023,27-11-2024,300,9907
12034077-CAFE CAPP 3C CLAS 5S 5X1KG,14-12-2023,13-12-2024,"1.230,00",9907
12034077-CAFE CAPP 3C CLAS 5S 5X1KG,19-12-2023,18-12-2024,"1.910,00",9907
12034080-BEBIDA LACT 3C CAPP BALANCE PET 6X260ML,11-11-2023,08-07-2024,98400,7669
12034080-BEBIDA LACT 3C CAPP BALANCE PET 6X260ML,29-11-2023,26-07-2024,"14.275,00",7669
12034080-BEBIDA LACT 3C CAPP BALANCE PET 6X260ML,02-12-2023,29-07-2024,"2.376,00",7669
12034081-BEBIDA LACT 3C CAPP CHOC PET 6X260ML,20-09-2023,20-05-2024,3000,22598
12034081-BEBIDA LACT 3C CAPP CHOC PET 6X260ML,28-11-2023,28-07-2024,"21.384,00",22598
12034081-BEBIDA LACT 3C CAPP CHOC PET 6X260ML,29-11-2023,29-07-2024,"2.376,00",22598
12034081-BEBIDA LACT 3C CAPP CHOC PET 6X260ML,30-11-2023,30-07-2024,"7.128,00",22598
12034082-BEBIDA LACT 3C CAPP CLASSIC PET 6X260ML,16-11-2023,16-07-2024,1200,25240
12034082-BEBIDA LACT 3C CAPP CLASSIC PET 6X260ML,04-12-2023,03-08-2024,"2.472,00",25240
12034082-BEBIDA LACT 3C CAPP CLASSIC PET 6X260ML,23-12-2023,22-08-2024,"26.136,00",25240
12034082-BEBIDA LACT 3C CAPP CLASSIC PET 6X260ML,04-01-2024,03-09-2024,"21.384,00",25240
12034083-CAFE CAPP 3C ZERO ACUCAR 5S 5X1KG,09-12-2023,08-12-2024,26000,1283
12034091-KIT CAFE CAPP 3C CLAS PT 3X200G,20-07-2023,19-07-2024,64800,720
12034091-KIT CAFE CAPP 3C CLAS PT 3X200G,13-09-2023,12-09-2024,36000,720
12034096-CAFE CAPP 3C CLAS ABRA PT 24X200G,19-08-2023,18-08-2024,1300,26237
12034096-CAFE CAPP 3C CLAS ABRA PT 24X200G,13-09-2023,12-09-2024,7200,26237
12034096-CAFE CAPP 3C CLAS ABRA PT 24X200G,30-09-2023,29-09-2024,"2.976,00",26237
12034096-CAFE CAPP 3C CLAS ABRA PT 24X200G,23-10-2023,22-10-2024,"2.352,00",26237
12034096-CAFE CAPP 3C CLAS ABRA PT 24X200G,30-10-2023,29-10-2024,"23.520,00",26237
12034096-CAFE CAPP 3C CLAS ABRA PT 24X200G,15-11-2023,14-11-2024,"2.352,00",26237
12034097-CAFE CAPP 3C CLAS ABRA PT 12X400G,06-08-2023,05-08-2024,42000,25872
12034097-CAFE CAPP 3C CLAS ABRA PT 12X400G,07-08-2023,06-08-2024,"1.944,00",25872
12034097-CAFE CAPP 3C CLAS ABRA PT 12X400G,08-08-2023,07-08-2024,"5.184,00",25872
12034097-CAFE CAPP 3C CLAS ABRA PT 12X400G,24-08-2023,23-08-2024,"2.616,00",25872
12034097-CAFE CAPP 3C CLAS ABRA PT 12X400G,01-09-2023,31-08-2024,"1.296,00",25872
12034097-CAFE CAPP 3C CLAS ABRA PT 12X400G,30-10-2023,29-10-2024,"7.776,00",25872
12034097-CAFE CAPP 3C CLAS ABRA PT 12X400G,14-02-2024,13-02-2025,"9.720,00",25872
12034098-CAFE CAPP 3C BAUN ABRA COR PT 24X200G,18-09-2023,17-09-2024,"3.660,00",2356
12034098-CAFE CAPP 3C BAUN ABRA COR PT 24X200G,30-09-2023,29-09-2024,500,2356
12034099-CAFE CAPP 3C CHOC ABRA COR PT 24X200G,09-10-2023,08-10-2024,500,10273
12034099-CAFE CAPP 3C CHOC ABRA COR PT 24X200G,11-10-2023,10-10-2024,"7.752,00",10273
12034099-CAFE CAPP 3C CHOC ABRA COR PT 24X200G,13-10-2023,12-10-2024,"4.704,00",10273
12034099-CAFE CAPP 3C CHOC ABRA COR PT 24X200G,18-10-2023,17-10-2024,"4.704,00",10273
12034099-CAFE CAPP 3C CHOC ABRA COR PT 24X200G,04-11-2023,03-11-2024,"4.368,00",10273
12034099-CAFE CAPP 3C CHOC ABRA COR PT 24X200G,12-11-2023,11-11-2024,"2.352,00",10273
12034099-CAFE CAPP 3C CHOC ABRA COR PT 24X200G,14-11-2023,13-11-2024,"2.352,00",10273
12034099-CAFE CAPP 3C CHOC ABRA COR PT 24X200G,19-01-2024,18-01-2025,"2.352,00",10273
12034100-CAFE CAPP 3C DECAF ABRA COR PT 24X200G,29-09-2023,28-09-2024,87200,2507
12034101-CAFE CAPP 3C DIET ABRA COR PT 24X150G,16-09-2023,15-09-2024,"1.680,00",8993
12034101-CAFE CAPP 3C DIET ABRA COR PT 24X150G,16-09-2023,15-09-2024,1200,8993
12034101-CAFE CAPP 3C DIET ABRA COR PT 24X150G,13-02-2024,12-02-2025,"3.413,00",8993
12034101-CAFE CAPP 3C DIET ABRA COR PT 24X150G,17-09-2023,16-09-2024,"2.352,00",8993
12034102-CAFE CAPP 3C BALANCE ABRA COR PT 24X180G,31-08-2023,30-08-2024,2700,1787
12034102-CAFE CAPP 3C BALANCE ABRA COR PT 24X180G,04-01-2024,03-01-2025,"4.323,00",1787
12034111-CAFE CAPP 3C AVELA ABRA COR PT 24X200G,19-10-2023,18-10-2024,"1.118,00",3211
12034112-BEBIDA LACT 3C CAPP PINGADO PET 6X260ML,27-11-2023,26-08-2024,"6.790,00",10153
12034112-BEBIDA LACT 3C CAPP PINGADO PET 6X260ML,21-12-2023,19-09-2024,"9.504,00",10153
12034113-BEBIDA LACT 3C CAPP WHEY PET 6X260ML,22-10-2023,21-06-2024,"2.143,00",24600
12034113-BEBIDA LACT 3C CAPP WHEY PET 6X260ML,15-09-2023,15-05-2024,"4.752,00",24600
12034113-BEBIDA LACT 3C CAPP WHEY PET 6X260ML,17-09-2023,17-05-2024,"14.256,00",24600
12034113-BEBIDA LACT 3C CAPP WHEY PET 6X260ML,22-10-2023,21-06-2024,"14.256,00",24600
12034113-BEBIDA LACT 3C CAPP WHEY PET 6X260ML,24-11-2023,24-07-2024,"11.880,00",24600
12034120-CAFE CAPP 3C CLAS REF 24X100G,17-10-2023,16-10-2024,4400,1938
12034120-CAFE CAPP 3C CLAS REF 24X100G,30-11-2023,29-11-2024,"3.144,00",1938
12034121-BEBIDA CAPP 3C PWHEY CLAS 12X250ML,18-09-2023,18-05-2024,300,17220
12034121-BEBIDA CAPP 3C PWHEY CLAS 12X250ML,14-10-2023,13-06-2024,"38.828,00",17220
12034121-BEBIDA CAPP 3C PWHEY CLAS 12X250ML,07-11-2023,07-07-2024,"3.108,00",17220
12034121-BEBIDA CAPP 3C PWHEY CLAS 12X250ML,20-11-2023,20-07-2024,"3.108,00",17220
12034121-BEBIDA CAPP 3C PWHEY CLAS 12X250ML,21-11-2023,21-07-2024,"3.108,00",17220
12034122-CAFE CAPP 3C COOK POTE 24X200G,28-01-2024,27-01-2025,7300,1398
12034123-CAFE CAPP 3C CARAM FSAL POTE 24X200G,22-11-2023,21-11-2024,"3.097,00",1376
12034124-BEBIDA LACT CAPP 3C PWHEY CHOC 12X250ML,27-12-2023,26-08-2024,77700,19680
12034124-BEBIDA LACT CAPP 3C PWHEY CHOC 12X250ML,22-10-2023,21-06-2024,5200,19680
12034124-BEBIDA LACT CAPP 3C PWHEY CHOC 12X250ML,28-12-2023,27-08-2024,"11.304,00",19680
12034125-BEBIDA LACT CAPP 3C PWHEY COOK 12X250ML,14-11-2023,14-07-2024,300,15776
12034125-BEBIDA LACT CAPP 3C PWHEY COOK 12X250ML,16-11-2023,16-07-2024,"18.336,00",15776
12034125-BEBIDA LACT CAPP 3C PWHEY COOK 12X250ML,18-11-2023,18-07-2024,"12.432,00",15776
12034125-BEBIDA LACT CAPP 3C PWHEY COOK 12X250ML,29-12-2023,28-08-2024,"15.540,00",15776
12034126-BEBIDA LACT CAPP 3C PWHEY DLEIT 12X250ML,24-11-2023,24-07-2024,100,3988
12034126-BEBIDA LACT CAPP 3C PWHEY DLEIT 12X250ML,26-11-2023,26-07-2024,"11.700,00",3988
12034126-BEBIDA LACT CAPP 3C PWHEY DLEIT 12X250ML,22-12-2023,21-08-2024,"9.324,00",3988
12034130-CAPPUCCINO VEG 3C POTE 24X140G,30-06-2023,29-06-2024,"1.686,00",021
12034130-CAPPUCCINO VEG 3C POTE 24X140G,20-07-2023,19-07-2024,"2.016,00",021
12034131-CAPPUCCINO VEG 3C 6X10X20G,04-07-2023,03-07-2024,"8.650,00",000
12034131-CAPPUCCINO VEG 3C 6X10X20G,25-07-2023,24-07-2024,"8.400,00",000
12034133-CAFE CAPP 3C CLAS ABRA POTE 6X200G,26-10-2023,25-10-2024,600,000
12034133-CAFE CAPP 3C CLAS ABRA POTE 6X200G,09-11-2023,08-11-2024,"3.600,00",000
12034133-CAFE CAPP 3C CLAS ABRA POTE 6X200G,10-11-2023,09-11-2024,1500,000
12034133-CAFE CAPP 3C CLAS ABRA POTE 6X200G,06-02-2024,05-02-2025,"3.600,00",000
12034134-CAFE CAPP 3C CHOC ABRA POTE 6X200G,06-11-2023,05-11-2024,"2.925,00",000
12034134-CAFE CAPP 3C CHOC ABRA POTE 6X200G,14-02-2024,13-02-2025,"1.800,00",000
12034135-CAFE CAPP 3C CARAM SAL SCH 16X10X20G,02-12-2023,01-12-2024,"9.600,00",000
12034136-CAFE CAPP 3C CLAS REF 12X100G,08-09-2023,07-09-2024,17600,000
12034142-CAFE CAPP 3C CANELA SCH 30X20G,19-01-2024,18-01-2025,"4.260,00",000
12034143-CAFE CAPP 3C BAUN SCH 30X20G,07-02-2024,06-02-2025,"3.600,00",000
12034144-CAFE CAPP 3C LIGTH SCH 30X14G,20-01-2024,19-01-2025,"1.800,00",000
12034147-KIT BEBIDA LAC CAP 3C PWHEY CHOC 6X250ML,06-09-2023,06-05-2024,12000,000
12034148-KIT BEBIDA LAC CAP 3C PWHEY CLAS 6X250ML,22-11-2023,22-07-2024,20000,000
12034149-KIT BEBIDA LAC CAP 3C PWHEY COOK 6X250ML,05-09-2023,05-05-2024,44000,000
12034150-CAFE CAPP 3C CLAS SCH 30X20G,23-01-2024,22-01-2025,"16.980,00",000
12034151-CAFE CAPP 3C CHOC SCH 30X20G,17-01-2024,16-01-2025,"6.570,00",000
12035025-CHOCOLATTO 3C REF 5S 24X400G,15-11-2023,14-11-2024,1800,000
12035026-CHOCOLATTO 3C REF 5S 12X700G,15-12-2023,14-12-2024,"4.512,00","1.632,19"
12035026-CHOCOLATTO 3C REF 5S 12X700G,18-12-2023,17-12-2024,1200,"1.632,19"
12035026-CHOCOLATTO 3C REF 5S 12X700G,21-12-2023,20-12-2024,3900,"1.632,19"
12035026-CHOCOLATTO 3C REF 5S 12X700G,04-01-2024,03-01-2025,"15.552,00","1.632,19"
12035026-CHOCOLATTO 3C REF 5S 12X700G,10-01-2024,09-01-2025,"1.944,00","1.632,19"
12035026-CHOCOLATTO 3C REF 5S 12X700G,17-01-2024,16-01-2025,97200,"1.632,19"
12035026-CHOCOLATTO 3C REF 5S 12X700G,31-01-2024,30-01-2025,100,"1.632,19"
12035026-CHOCOLATTO 3C REF 5S 12X700G,01-02-2024,31-01-2025,"27.216,00","1.632,19"
12035026-CHOCOLATTO 3C REF 5S 12X700G,04-02-2024,03-02-2025,34800,"1.632,19"
12035027-CHOCOLATTO 3C REF 5S 12X300G,11-11-2023,10-11-2024,100,18764
12035027-CHOCOLATTO 3C REF 5S 12X300G,09-01-2024,08-01-2025,"9.673,00",18764
"12035032-CHOCOLATE QUENTE 3C CREM 5S 5X1,1KG",22-10-2023,21-10-2024,22200,2666
12035043-CHOCOLATTO 3C REF 5S 12X560G,06-11-2023,05-11-2024,9600,24395
12035043-CHOCOLATTO 3C REF 5S 12X560G,09-11-2023,08-11-2024,47400,24395
12035043-CHOCOLATTO 3C REF 5S 12X560G,17-01-2024,16-01-2025,"5.004,00",24395
12035043-CHOCOLATTO 3C REF 5S 12X560G,08-02-2024,07-02-2025,21600,24395
"12035044-CHOCOLATTO 3C REF 5S 5X1,020KG",04-11-2023,03-11-2024,1500,25384
"12035044-CHOCOLATTO 3C REF 5S 5X1,020KG",05-11-2023,04-11-2024,500,25384
"12035044-CHOCOLATTO 3C REF 5S 5X1,020KG",08-11-2023,07-11-2024,51000,25384
"12035044-CHOCOLATTO 3C REF 5S 5X1,020KG",02-12-2023,01-12-2024,"1.020,00",25384
"12035044-CHOCOLATTO 3C REF 5S 5X1,020KG",04-01-2024,03-01-2025,"2.770,00",25384
"12035044-CHOCOLATTO 3C REF 5S 5X1,020KG",07-02-2024,06-02-2025,44000,25384
"12035044-CHOCOLATTO 3C REF 5S 5X1,020KG",08-02-2024,07-02-2025,"3.060,00",25384
12035047-CHOCOLATTO 3C LT 30X370G,22-11-2023,21-11-2024,6000,28708
12035047-CHOCOLATTO 3C LT 30X370G,10-01-2024,09-01-2025,"9.270,00",28708
12035047-CHOCOLATTO 3C LT 30X370G,17-01-2024,16-01-2025,"4.050,00",28708
12035047-CHOCOLATTO 3C LT 30X370G,01-02-2024,31-01-2025,"8.916,00",28708
12035053-CHOCOLATTO 3C LT 12X370G,23-01-2024,22-01-2025,2600,000
12035055-CHOCOLATTO 3C REF 5S 6X700G,01-11-2023,31-10-2024,32600,000
12036013-CAFE C-LEITE 3C ZR ACUCAR LT 12X265G,10-08-2023,09-08-2024,100,209
12036018-CAFE C-LEITE 3C 5S 5X1KG,28-09-2023,27-09-2024,21100,1333
12036018-CAFE C-LEITE 3C 5S 5X1KG,29-09-2023,28-09-2024,51000,1333
12036019-CAFE C-LEITE 3C SACHE 50X20G,24-11-2023,23-11-2024,"9.450,00",1627
12036021-CAFE C-LEITE 3C ZR FOOD 5S 5X1KG,25-03-2023,24-03-2024,300,400
12036021-CAFE C-LEITE 3C ZR FOOD 5S 5X1KG,16-08-2023,15-08-2024,34000,400
12036021-CAFE C-LEITE 3C ZR FOOD 5S 5X1KG,30-09-2023,29-09-2024,11500,400
12036026-CAFE C-LEIT 3C REF 24X100G,05-09-2023,04-09-2024,"2.401,00",2393
12036026-CAFE C-LEIT 3C REF 24X100G,06-09-2023,05-09-2024,"4.152,00",2393
12036026-CAFE C-LEIT 3C REF 24X100G,08-10-2023,07-10-2024,"16.416,00",2393
12036028-CAFE C-LEIT 3C LT 12X300G,25-11-2023,24-11-2024,"1.224,00",4650
12036028-CAFE C-LEIT 3C LT 12X300G,26-11-2023,25-11-2024,"1.824,00",4650
12036028-CAFE C-LEIT 3C LT 12X300G,06-12-2023,05-12-2024,"10.944,00",4650
12036028-CAFE C-LEIT 3C LT 12X300G,07-12-2023,06-12-2024,"1.347,00",4650
12036028-CAFE C-LEIT 3C LT 12X300G,08-12-2023,07-12-2024,1200,4650
12036036-CAFE C-LEIT VEG 3C LT 12X220G,04-09-2023,03-09-2024,"2.352,00",000
12036036-CAFE C-LEIT VEG 3C LT 12X220G,19-09-2023,18-09-2024,78000,000
12036036-CAFE C-LEIT VEG 3C LT 12X220G,17-10-2023,16-10-2024,77300,000
12036038-CAFE C-LEIT 3C REF 12X100G,02-10-2023,01-10-2024,"1.657,00",000
12036039-CAFE C-LEIT 3C LT 6X300G,13-12-2023,12-12-2024,20600,000
12036040-CAFE C-LEIT 3C BALANCE LT 24X200G,18-12-2023,17-12-2024,29200,000
12036042-CAFE C-LEIT 3C SCH 30X20G,02-02-2024,01-02-2025,"3.000,00",000
12037415-FILTRO PAP 3C 102-30 RED AGR 8X5X30UN,24-05-2023,23-05-2026,"1.889,00",154
12037416-FILTRO PAP 3C 103-30 RED AGR 8X5X30UN,29-07-2023,28-07-2026,45100,799
12037416-FILTRO PAP 3C 103-30 RED AGR 8X5X30UN,03-08-2023,02-08-2026,"4.000,00",799
12037416-FILTRO PAP 3C 103-30 RED AGR 8X5X30UN,31-08-2023,30-08-2026,"2.000,00",799
12037416-FILTRO PAP 3C 103-30 RED AGR 8X5X30UN,30-09-2023,29-09-2026,"4.000,00",799
12037417-FILTRO PAP 3C 102-30 RED DES 40X30UN,29-09-2023,28-09-2026,25100,1348
12037417-FILTRO PAP 3C 102-30 RED DES 40X30UN,09-11-2023,08-11-2026,"13.000,00",1348
12037417-FILTRO PAP 3C 102-30 RED DES 40X30UN,10-11-2023,09-11-2026,"7.280,00",1348
12037418-FILTRO PAP 3C 103-30 RED DES 40X30UN,25-11-2023,24-11-2026,300,5252
12037418-FILTRO PAP 3C 103-30 RED DES 40X30UN,14-12-2023,13-12-2026,78600,5252
12037418-FILTRO PAP 3C 103-30 RED DES 40X30UN,14-02-2024,13-02-2027,"4.000,00",5252
12068181-FRISCO ABACAXI SACHE MP 10X15X25G,24-07-2023,21-01-2025,"1.215,00",6774
12068182-FRISCO CAJA SACHE MP 10X15X25G,26-07-2023,23-01-2025,10500,9094
12068183-FRISCO CAJU SACHE MP 10X15X25G,06-03-2023,03-09-2024,48000,9124
12068184-FRISCO GOIABA SACHE MP 10X15X25G,08-05-2023,05-11-2024,"1.170,00",9834
12068185-FRISCO GRAVIOLA SACHE MP 10X15X25G,13-05-2023,10-11-2024,"2.820,00",4611
12068185-FRISCO GRAVIOLA SACHE MP 10X15X25G,18-07-2023,15-01-2025,"21.000,00",4611
12068187-FRISCO LARANJA ACER SACHE MP 10X15X25G,02-08-2023,30-01-2025,49500,8503
12068188-FRISCO LARANJA SACHE MP 10X15X25G,21-04-2023,19-10-2024,6000,12971
12068190-FRISCO MANGA SACHE MP 10X15X25G,02-08-2023,30-01-2025,31500,9471
12068191-FRISCO MARACUJA SACHE MP 10X15X25G,13-05-2023,10-11-2024,"1.290,00",19104
12068192-FRISCO MORANGO SACHE MP 10X15X25G,05-07-2023,02-01-2025,1500,14849
12068196-FRISCO UVA SACHE MP 10X15X25G,18-09-2023,18-03-2025,"50.550,00",21683
12068208-FRISCO UVA SACHE MP J3 10X15X25G,27-09-2023,27-03-2025,"77.055,00",000
12068210-FRISCO MORANGO-IOGURT SACHE MP 10X15X25G,08-06-2023,06-12-2024,"21.435,00",4651
12068210-FRISCO MORANGO-IOGURT SACHE MP 10X15X25G,03-08-2023,31-01-2025,"21.000,00",4651
12068219-FRISCO BAUN C-LIMAO SCH 10X15X25G,20-07-2023,17-01-2025,"9.555,00",873
12068219-FRISCO BAUN C-LIMAO SCH 10X15X25G,22-07-2023,19-01-2025,"21.000,00",873
12068219-FRISCO BAUN C-LIMAO SCH 10X15X25G,30-08-2023,27-02-2025,"21.000,00",873
12068220-TORNADO UVA 2L MP NF SCH 10X20X15G,28-03-2023,25-09-2024,94000,2965
12068222-TORNADO LIMAO 2L MP NF SCH 10X20X15G,06-09-2023,06-03-2025,"23.480,00",400
12068223-TORNADO MARAC 2L MP NF SCH 10X20X15G,28-08-2023,25-02-2025,80000,307
12068225-TORNADO LJ 2L MP NF SCH 10X20X15G,25-08-2023,22-02-2025,"8.300,00",1665
12068226-FRISCO LIMAO MP J1-2 SCH 10X15X25G,18-05-2023,15-11-2024,3000,000
12068227-FRISCO MANGA MP J1-2 SCH 10X15X25G,02-06-2023,30-11-2024,16500,000
12068228-FRISCO LJ J3 SCH 10X18X18G,12-12-2023,11-06-2025,7200,000
12068228-FRISCO LJ J3 SCH 10X18X18G,13-12-2023,12-06-2025,"28.098,00",000
12068228-FRISCO LJ J3 SCH 10X18X18G,23-01-2024,23-07-2025,"103.680,00",000
12068228-FRISCO LJ J3 SCH 10X18X18G,24-01-2024,24-07-2025,93600,000
12068229-FRISCO ABACAXI J3 SCH 10X18X18G,10-12-2023,09-06-2025,"77.472,00",000
12068229-FRISCO ABACAXI J3 SCH 10X18X18G,12-01-2024,12-07-2025,"56.160,00",000
12068230-FRISCO UVA J3 SCH 10X18X18G,03-11-2023,03-05-2025,1800,000
12068232-FRISCO LIMAO J3 SCH 10X18X18G,10-01-2024,10-07-2025,"263.448,00",000
12068233-FRISCO MARAC J3 SCH 10X18X18G,24-01-2024,24-07-2025,"405.234,00",000
12068234-FRISCO MORANGO J3 SCH 10X18X18G,29-11-2023,29-05-2025,"24.246,00",000
12068234-FRISCO MORANGO J3 SCH 10X18X18G,01-12-2023,31-05-2025,"69.120,00",000
12068234-FRISCO MORANGO J3 SCH 10X18X18G,30-01-2024,30-07-2025,"224.640,00",000
12068235-FRISCO LIMAO J1-2 SCH 10X18X18G,13-12-2023,12-06-2025,"91.206,00",000
12068235-FRISCO LIMAO J1-2 SCH 10X18X18G,18-01-2024,18-07-2025,"39.600,00",000
12068236-FRISCO MANGA J1-2 SCH 10X18X18G,30-10-2023,29-04-2025,"64.170,00",000
12068236-FRISCO MANGA J1-2 SCH 10X18X18G,24-01-2024,24-07-2025,"151.200,00",000
12068237-FRISCO UVA J1-2 SCH 10X18X18G,20-11-2023,20-05-2025,"18.216,00",000
12068237-FRISCO UVA J1-2 SCH 10X18X18G,25-11-2023,25-05-2025,"50.400,00",000
12068237-FRISCO UVA J1-2 SCH 10X18X18G,28-11-2023,28-05-2025,"201.600,00",000
12068237-FRISCO UVA J1-2 SCH 10X18X18G,25-01-2024,25-07-2025,"151.200,00",000
12068238-FRISCO SALADA FRUT J1-2 SCH 10X18X18G,30-11-2023,30-05-2025,"17.892,00",000
12068239-FRISCO LJ ACER J1-2 SCH 10X18X18G,20-12-2023,19-06-2025,"35.712,00",000
12068239-FRISCO LJ ACER J1-2 SCH 10X18X18G,22-01-2024,22-07-2025,"100.800,00",000
12068240-FRISCO GRAV J1-2 SCH 10X18X18G,11-12-2023,10-06-2025,"15.300,00",000
12068240-FRISCO GRAV J1-2 SCH 10X18X18G,17-01-2024,17-07-2025,"39.600,00",000
12068241-FRISCO TANGERINA J1-2 SCH 10X18X18G,26-11-2023,26-05-2025,"76.140,00",000
12068241-FRISCO TANGERINA J1-2 SCH 10X18X18G,27-11-2023,27-05-2025,"18.000,00",000
12068241-FRISCO TANGERINA J1-2 SCH 10X18X18G,05-01-2024,05-07-2025,"75.600,00",000
12068241-FRISCO TANGERINA J1-2 SCH 10X18X18G,19-01-2024,19-07-2025,"25.200,00",000
12068242-FRISCO GUARANA J1-2 SCH 10X18X18G,09-01-2024,09-07-2025,"26.010,00",000
12068242-FRISCO GUARANA J1-2 SCH 10X18X18G,01-02-2024,01-08-2025,"198.000,00",000
12068243-FRISCO GOIAB J1-2 SCH 10X18X18G,03-01-2024,03-07-2025,"31.536,00",000
12068244-FRISCO CAJU J1-2 SCH 10X18X18G,19-12-2023,18-06-2025,1800,000
12068244-FRISCO CAJU J1-2 SCH 10X18X18G,20-12-2023,19-06-2025,"70.164,00",000
12068244-FRISCO CAJU J1-2 SCH 10X18X18G,26-12-2023,25-06-2025,"70.200,00",000
12068245-FRISCO MOR IOG SCH 10X18X18G,29-11-2023,29-05-2025,"3.348,00",000
12068245-FRISCO MOR IOG SCH 10X18X18G,03-01-2024,03-07-2025,"19.800,00",000
12068245-FRISCO MOR IOG SCH 10X18X18G,11-01-2024,11-07-2025,"9.036,00",000
12068246-FRISCO MARAC IOG SCH 10X18X18G,22-01-2024,22-07-2025,"38.826,00",000
12068247-FRISCO CAJA SCH 10X18X18G,25-01-2024,25-07-2025,12600,000
12068247-FRISCO CAJA SCH 10X18X18G,28-01-2024,28-07-2025,43200,000
12068248-FRISCO BAUN C-LIMAO SCH 10X18X18G,18-01-2024,18-07-2025,"17.730,00",000
12071020-CAFE TG FRANS FOOD 5X1KG,24-11-2023,24-07-2024,3500,967
12071020-CAFE TG FRANS FOOD 5X1KG,05-02-2024,05-10-2024,52000,967
12071035-CAFE TM VILLEFORT TRAD SPACK 10X500G,17-03-2023,16-03-2024,18000,1667
12081006-CAFE TM FINO GRAO +FORTE SPACK 10X500G,21-08-2023,20-08-2024,"2.130,00",000
12142001-CAFE SOL IGUA EF REF 24X50G,16-06-2023,15-06-2025,"1.318,00",028
12142004-CAFE SOL IGUA TRAD LT 24X50G,26-07-2022,25-07-2025,200,074
12142004-CAFE SOL IGUA TRAD LT 24X50G,26-08-2022,25-08-2025,100,074
12142004-CAFE SOL IGUA TRAD LT 24X50G,09-02-2023,08-02-2026,1300,074
12142004-CAFE SOL IGUA TRAD LT 24X50G,19-07-2023,18-07-2026,"1.152,00",074
12142005-CAFE SOL IGUA TRAD LT 12X200G,16-10-2021,15-10-2024,200,044
12142005-CAFE SOL IGUA TRAD LT 12X200G,30-04-2023,29-04-2026,400,044
12142005-CAFE SOL IGUA TRAD LT 12X200G,29-11-2023,28-11-2026,24000,044
12142007-CAFE SOL IGUA TRAD REF 24X50G,28-08-2023,27-08-2025,65100,029
12142014-CAFE SOL IGUA GRAN CLAS REF 24X50G,10-06-2023,09-06-2025,24600,009
12142015-CAFE SOL IGUA GRAN CLAS VD 24X100G,20-06-2023,19-06-2026,4200,024
12142017-CAFE SOL IGUA LIOF GOURM REF 24X50G,30-05-2023,29-05-2025,40500,035
12142018-CAFE SOL IGUA LIOF GOURM VD 24X100G,25-08-2023,24-08-2026,31200,091
